DBMS_urnform,DBMS_common_name,upstream_repo_id,local_repo_id,repo_id_change_class,repo_link,repo_created_at,upstream_License_info,local_License_info,upstream_open_source_license,local_open_source_license,first_later_upstream_matching_month,provenance_class,provenance_evidence,in_frozen_301_candidates,in_frozen_294_seeds,source_evidence_present,scientific_role,human_review_required
lovefield,Lovefield,24650236,24650236,UNCHANGED,google/lovefield,2014-09-30T18:29:14Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
lowdb,LowDB,18351848,18351848,UNCHANGED,typicode/lowdb,2014-04-02T02:16:06Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
lucene,Lucene,341631350,341631350,UNCHANGED,apache/lucene,2021-02-23T17:16:56Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
luciddb,LucidDB,,3017505,BLANK_TO_VALID_NUMERIC_REPO_ID,LucidDB/luciddb,2011-12-20T05:39:04Z,"Apache v2,GPL v2,LGPL v2","Apache v2,GPL v2,LGPL v2",Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
lungodb,LungoDB,215532341,215532341,UNCHANGED,256dpi/lungo,2019-10-16T11:32:05Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
m3db,M3DB,61153677,61153677,UNCHANGED,m3db/m3,2016-06-14T20:29:45Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
machbase-neo,Machbase Neo,584240610,584240610,UNCHANGED,machbase/neo-server,2023-01-02T00:40:00Z,free test version available,free test version available,N,N,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
magma,Magma,89699591,89699591,UNCHANGED,magma-database/magma,2017-04-28T11:24:10Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
mangodb,MangoDB,4732384,4732384,UNCHANGED,dcramer/mangodb,2012-06-20T22:42:57Z,,,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
manticore-search,Manticore Search,95614931,95614931,UNCHANGED,manticoresoftware/manticoresearch,2017-06-28T01:15:30Z,GPL v2,GPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
mapdb,MapDB,5453989,5453989,UNCHANGED,jankotek/mapdb,2012-08-17T15:28:54Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
marcellodb,MarcelloDB,25225465,25225465,UNCHANGED,markmeeus/MarcelloDB,2014-10-14T20:35:45Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
mariadb,MariaDB,19816070,19816070,UNCHANGED,MariaDB/server,2014-05-15T10:58:50Z,"GPL v2, commercial enterprise subscription available","GPL v2, commercial enterprise subscription available",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
mariposa,Mariposa,,-,BLANK_TO_PLACEHOLDER,-,-,BSD,BSD,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
marqo,Marqo,520096046,520096046,UNCHANGED,marqo-ai/marqo,2022-08-01T12:12:51Z,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
matrixone,MatrixOne,339993112,339993112,UNCHANGED,matrixorigin/matrixone,2021-02-18T09:07:17Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
mcdb,mcdb,2272541,2272541,UNCHANGED,gstrauss/mcdb,2011-08-26T05:43:36Z,LGPL v2,LGPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
mckoi-sql-database,Mckoi SQL Database,135423959,135423959,UNCHANGED,Mckoi/origsqldb,2018-05-30T10:00:17Z,GPL v2,GPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
meilisearch,Meilisearch,130688011,130688011,UNCHANGED,meilisearch/meilisearch,2018-04-23T11:45:28Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
memcached,Memcached,184981,184981,UNCHANGED,memcached/memcached,2009-04-24T23:34:25Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
memgraph,Memgraph,297302063,297302063,UNCHANGED,memgraph/memgraph,2020-09-21T10:14:04Z,Business Source License#dbdbio>|<dbengines#BSL 1.1; commercial license for enterprise edition available,Business Source License#dbdbio>|<dbengines#BSL 1.1; commercial license for enterprise edition available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
memstate,Memstate,95070401,95070401,UNCHANGED,devrexlabs/memstate,2017-06-22T03:24:57Z,"GPL v3,LGPL v3","GPL v3,LGPL v3",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
mentat,Mentat,62660036,62660036,UNCHANGED,mozilla/mentat,2016-07-05T18:29:34Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
metalbase,MetalBase,134193743,134193743,UNCHANGED,apavlo/metalbase,2018-05-20T23:01:38Z,,,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
milvus,Milvus,208728772,208728772,UNCHANGED,milvus-io/milvus,2019-09-16T06:43:43Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
mimir,Mimir,385634291,385634291,UNCHANGED,grafana/mimir,2021-07-13T14:34:08Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
mldb,MLDB,,47634692,BLANK_TO_VALID_NUMERIC_REPO_ID,mldbai/mldb,2015-12-08T16:34:16Z,Apache v2,Apache v2,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
mnesia,Mnesia,141378316,141378316,UNCHANGED,beardedeagle/mnesiac,2018-07-18T03:51:54Z,proprietary license,proprietary license,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
modeshape,ModeShape,1244027,1244027,UNCHANGED,ModeShape/modeshape,2011-01-12T02:30:46Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
mondrian,Mondrian,3766330,3766330,UNCHANGED,pentaho/mondrian,2012-03-19T17:03:39Z,Eclipse Public License,Eclipse Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
monetdb,MonetDB,316690542,316690542,UNCHANGED,MonetDB/MonetDB,2020-11-28T08:35:36Z,Mozilla Public License 2.0,Mozilla Public License 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
mongodb,MongoDB,108110,108110,UNCHANGED,mongodb/mongo,2009-01-15T16:15:18Z,Server Side Public License#dbdbio>|<dbengines#MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,Server Side Public License#dbdbio>|<dbengines#MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
mulgara,Mulgara,16710751,16710751,UNCHANGED,quoll/mulgara,2014-02-10T21:56:20Z,Open Software License 3.0#dbdbio>|<dbengines#Apache Version 2,Open Software License 3.0#dbdbio>|<dbengines#Apache Version 2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
mutable,mutable,,576351141,BLANK_TO_VALID_NUMERIC_REPO_ID,mutable-org/mutable,2022-12-09T16:18:09Z,,GNU Affero General Public License v3.0,,,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
myscaledb,MyScaleDB,771847852,771847852,UNCHANGED,myscale/MyScaleDB,2024-03-14T04:02:07Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
mysql,MySQL,24494032,24494032,UNCHANGED,mysql/mysql-server,2014-09-26T09:31:03Z,GPL v2. Commercial licenses with extended functionallity are available,GPL v2. Commercial licenses with extended functionallity are available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
nanolat,Nanolat,7085128,7085128,UNCHANGED,Nanolat/nldb,2012-12-09T23:49:31Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
ncache,NCache,28956774,28956774,UNCHANGED,Alachisoft/NCache,2015-01-08T08:37:52Z,"Apache v2,Proprietary#dbdbio>|<dbengines#Enterprise Edition available","Apache v2,Proprietary#dbdbio>|<dbengines#Enterprise Edition available",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
ndatabase,NDatabase,37340459,37340459,UNCHANGED,jayhopeter/NDatabase,2015-06-12T19:26:29Z,LGPL v2,LGPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
ndb-cluster,NDB Cluster,,-,BLANK_TO_PLACEHOLDER,-,-,GPL v2,GPL v2,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
nebula-graph,Nebula Graph,146459443,146459443,UNCHANGED,vesoft-inc/nebula,2018-08-28T14:25:09Z,Apache v2.0 + Common Clause 1.0,Apache v2.0 + Common Clause 1.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
nedb,NeDB,9795883,9795883,UNCHANGED,louischatriot/nedb,2013-05-01T17:12:17Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
neo,NEO,50098469,50098469,UNCHANGED,Nexedi/neoppod,2016-01-21T09:58:48Z,GPL v3,GPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
neo4j,Neo4j,6650539,6650539,UNCHANGED,neo4j/neo4j,2012-11-12T08:46:15Z,"AGPL v3,GPL v3; commercial licenses available","AGPL v3,GPL v3; commercial licenses available",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
neodatis-odb,NeoDatis ODB,16457385,16457385,UNCHANGED,sirlordt/NeoDatis,2014-02-02T15:56:43Z,GPL v2,GPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
neon,Neon,351806852,351806852,UNCHANGED,neondatabase/neon,2021-03-26T14:20:47Z,"Apache v2,PostgreSQL License","Apache v2,PostgreSQL License",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
nessdb,nessDB,1922333,1922333,UNCHANGED,BohuTANG/nessDB,2011-06-20T07:17:30Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
neventstore,NEventStore,738338,738338,UNCHANGED,NEventStore/NEventStore,2010-06-24T20:28:53Z,MIT-License,MIT-License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
newts,Newts,16189524,16189524,UNCHANGED,OpenNMS/newts,2014-01-23T23:39:27Z,Apache 2.0,Apache 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
nitrite,Nitrite,88777477,88777477,UNCHANGED,dizitart/nitrite-database,2017-04-19T18:26:54Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
noisepage,NoisePage,140325970,140325970,UNCHANGED,cmu-db/noisepage,2018-07-09T18:22:34Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
noms,Noms,36778364,36778364,UNCHANGED,attic-labs/noms,2015-06-03T03:44:49Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
nosdb,NosDB,61179047,61179047,UNCHANGED,Alachisoft/NosDB,2016-06-15T05:08:51Z,Apache v2; Professional and Enterprise Versions available,Apache v2; Professional and Enterprise Versions available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
nsdb,NSDb,135549948,135549948,UNCHANGED,radicalbit/NSDb,2018-05-31T07:42:24Z,Apache Version 2.0,Apache Version 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
nucliadb,NucliaDB,478288303,478288303,UNCHANGED,nuclia/nucliadb,2022-04-05T20:21:54Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
nudb,NuDB,179588377,179588377,UNCHANGED,vinniefalco/NuDB,2019-04-04T22:51:06Z,Boost Software License,Boost Software License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
nundb,NunDB,160528020,160528020,UNCHANGED,mateusfreira/nun-db,2018-12-05T14:10:46Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
nutsdb,NutsDB,160784930,160784930,UNCHANGED,xujiajun/nutsdb,2018-12-07T07:03:38Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
oasysdb,OasysDB,722854801,722854801,UNCHANGED,oasysai/oasysdb,2023-11-24T05:38:45Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
objectbox,ObjectBox,79901405,79901405,UNCHANGED,objectbox/objectbox-java,2017-01-24T10:29:48Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
oceanbase,OceanBase,372536760,372536760,UNCHANGED,oceanbase/oceanbase,2021-05-31T14:36:17Z,Mulan PubL v2; Commercial license available,Mulan PubL v2; Commercial license available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
ocelot,Ocelot,,-,BLANK_TO_PLACEHOLDER,-,-,"GPL v2,Mozilla Public License","GPL v2,Mozilla Public License",Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
odaba,ODABA,,-,BLANK_TO_PLACEHOLDER,-,-,GPL v2,GPL v2,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
olegdb,OlegDB,15625555,15625555,UNCHANGED,infoforcefeed/OlegDB,2014-01-04T03:22:52Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
opengauss,openGauss,276117477,276117477,UNCHANGED,opengauss-mirror/openGauss-server,2020-06-30T14:08:59Z,,"Mulan Permissive Software License, Version 2",Y,Y,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
opengemini,openGemini,507829396,507829396,UNCHANGED,openGemini/openGemini,2022-06-27T08:41:54Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
openmldb,OpenMLDB,346976717,346976717,UNCHANGED,4paradigm/OpenMLDB,2021-03-12T07:18:31Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
openqm,OpenQM,1984888,1984888,UNCHANGED,gregjurman/openqm,2011-07-01T18:55:20Z,"GPL v2,Proprietary#dbdbio>|<dbengines#GPLv2, extended commercial license available","GPL v2,Proprietary#dbdbio>|<dbengines#GPLv2, extended commercial license available",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
opensearch,OpenSearch,334274271,334274271,UNCHANGED,opensearch-project/OpenSearch,2021-01-29T22:10:00Z,Apache Version 2.0,Apache Version 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
opentenbase,OpenTenBase,684046299,684046299,UNCHANGED,OpenTenBase/OpenTenBase,2023-08-28T10:44:36Z,BSD-3,BSD-3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
opentsdb,OpenTSDB,865412,865412,UNCHANGED,OpenTSDB/opentsdb,2010-08-27T02:05:20Z,LGPL v2,LGPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
opteryx,Opteryx,442441933,442441933,UNCHANGED,mabel-dev/opteryx,2021-12-28T11:27:22Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
oracle-coherence,Oracle Coherence,242776849,242776849,UNCHANGED,oracle/coherence,2020-02-24T15:51:04Z,,Universal Permissive License v1.0,N,N,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
oracle-nosql,Oracle NoSQL,298920362,298920362,UNCHANGED,oracle/nosql-java-sdk,2020-09-27T00:05:54Z,"Apache v2,Proprietary#dbdbio>|<dbengines#Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)","Apache v2,Proprietary#dbdbio>|<dbengines#Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
orbitdb,OrbitDB,48617634,48617634,UNCHANGED,orbitdb/orbit-db,2015-12-26T17:02:28Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
orientdb,OrientDB,7083240,7083240,UNCHANGED,orientechnologies/orientdb,2012-12-09T20:33:47Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
